name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
J.T. Miller,C,NYR,31.0,545.3896869179246,68,17,36,19,144,547,123,34,74.06453495037249,87.76122047980792,89.76709465672411,76.43573515117708,96.79525653056345,82.45036670507228,38.115478444207255
Jake Guentzel,C,TBL,32.0,545.267098994673,81,38,50,30,220,209,39,41,98.58464145473366,97.16743973467413,98.72917374527862,96.40672159164168,76.81236363467463,30.6426960609478,46.924062772722536
Moritz Seider,D,DET,33.0,545.2584236218651,82,10,50,28,187,0,128,180,50.848509202140406,97.16743973467413,97.73088163863125,91.4220757009665,24.041903142373393,84.32489931445119,99.72271488862827
Filip Forsberg,C,NSH,34.0,544.5279270428002,82,40,35,26,246,10,124,33,98.9867463890605,86.59279528919484,96.8067207004496,98.5243863957859,44.02860333437788,82.93083022494116,36.65784470899037
Adrian Kempe,LW,LAK,35.0,543.3044509397383,81,36,37,12,226,54,127,39,98.19163984579961,88.87490223173211,75.75959066531678,97.33180142483383,55.06188401833626,83.99962190586916,44.08501084785061
Ryan O'Reilly,C,NSH,36.0,541.356651726187,81,25,49,20,153,739,17,66,90.63105642626348,96.69975757348448,91.1714957573443,80.26459658496074,99.37306453897793,12.612320119331084,70.6043607258251
Alex Tuch,RW,BUF,37.0,541.1131383757128,79,33,33,9,195,46,82,90,97.22140953254177,84.01841374023245,67.46475727730535,92.8491701751174,53.404619468803595,61.569502873947926,84.58526530776422
Tom Wilson,RW,WSH,38.0,536.816238002243,72,30,32,12,153,17,179,53,95.56666053697583,82.47210995878356,75.75959066531678,80.26459658496074,47.14231978654355,95.86066906517327,59.75029140448935
Morgan Geekie,C,BOS,39.0,534.8571384024787,81,39,29,24,181,73,110,34,98.77417513727977,77.329579146598,95.57408086065158,89.99173962117563,58.57608613190976,76.49599906065666,38.115478444207255
Bo Horvat,C,NYI,40.0,532.6208260910065,68,31,26,16,226,690,51,38,96.2295905104319,71.77080075114107,85.05724001851257,97.33180142483383,99.02341418932758,40.22165589296249,42.986323303797064
Andrei Svechnikov,RW,CAR,41.0,528.5372540999191,79,31,39,29,203,10,148,16,96.2295905104319,91.01382347654186,98.22595570593148,94.1869797461344,44.02860333437788,90.49029772367385,14.362003602827762
David Pastrňák,RW,BOS,42.0,527.3994560131139,77,29,71,33,261,2,86,32,94.73486390810493,99.58285474876814,99.22130492470797,99.08771664582699,35.30992328587182,64.25659818465647,35.20619431517751
Alex Laferriere,RW,LAK,43.0,526.9424454503736,82,21,23,5,209,198,255,49,83.74955170710811,65.0844245102973,52.70822592492259,95.1149769854706,75.38557288252467,99.44299460890801,55.4566988311423
Leon Draisaitl,C,EDM,44.0,525.5805777958811,65,35,62,42,186,628,34,15,97.94507543125492,99.07975181570379,99.75767992359332,91.09172312265987,98.19507208752552,26.365716364734446,13.14555905040934
Jakob Chychrun,D,WSH,45.0,525.321348140516,80,26,34,18,221,0,58,114,91.8393299186974,85.33370332273623,88.33783070721557,96.62863153816103,24.041903142373393,45.59015032063429,93.54979919069811
Ryan Hartman,RW,MIN,46.0,523.623636059742,76,23,20,7,167,492,64,95,87.4734690714837,57.4737689817521,60.65811268635163,85.7203701505893,95.28360865642065,49.635792642610966,87.37851387053362
Darren Raddysh,D,TBL,47.0,523.0322025004444,73,22,48,26,212,0,67,69,85.65331399337745,96.27896860369339,96.8067207004496,95.44721072028864,24.041903142373393,52.26747587649109,72.53660946377093
Martin Nečas,C,COL,48.0,521.5745975063297,78,38,62,24,206,9,85,26,98.58464145473366,99.07975181570379,95.57408086065158,94.62532053967846,43.51481622462949,63.420682201565796,26.77530440936694
